shortId	type	title	slug	scenarioId	actionCount	n_actions	n_human	n_model	human_chars	model_chars	n_undone	n_deleted	n_images	first_at	last_at	n_days	memory_chars	an_chars	instr_chars	n_storycards	tags	scripts	types	path
09dFbNctEkDY	adventure	Black Friday	09dFbNctEkDY__black-friday	2285663	53	53	26	27	2208	7842	0	0	13	2021-12-10T13:49:28.926Z	2021-12-10T14:36:32.214Z	1	227	161	0	8	horror|thriller|comedy|doll|wiggly|black friday		continue=27;story=20;say=6	exports/adventures/09dFbNctEkDY__black-friday
0Lm6k1pIYZTl	adventure	AI Dungeon: Standards/Practices/Trafficking Division	0Lm6k1pIYZTl__ai-dungeon-standardspracticestrafficking-division	1207467	32	32	16	16	2567	4851	0	0	0	2021-05-07T23:05:48.512Z	2021-05-07T23:41:11.047Z	1	980	146	0	0	nsfw		story=16;continue=16	exports/adventures/0Lm6k1pIYZTl__ai-dungeon-standardspracticestrafficking-division
0S9IHvXPRkII	adventure	The Wet Nightmare	0S9IHvXPRkII__the-wet-nightmare	2445399	14	14	7	7	1507	2747	0	0	0	2021-12-07T01:44:02.647Z	2021-12-07T01:56:23.758Z	1	0	0	0	0	nsfw|happyd0gg|monster|domination|male x female|smut		story=7;continue=7	exports/adventures/0S9IHvXPRkII__the-wet-nightmare
0_DGo_huP96Z	adventure	The Hornbirds And Drugbees	0_DGo_huP96Z__the-hornbirds-and-drugbees	2423733	2	2	1	1	1226	294	0	0	0	2021-11-26T21:26:35.775Z	2021-11-26T21:26:40.257Z	1	302	78	0	0	nsfw		story=1;continue=1	exports/adventures/0_DGo_huP96Z__the-hornbirds-and-drugbees
0buqbTEa9KyZ	adventure	Empty Existence	0buqbTEa9KyZ__empty-existence	1666021	12	12	4	8	1859	3134	0	0	0	2021-04-08T18:13:29.237Z	2021-04-08T18:38:09.689Z	1	205	0	0	1	life|dark|simulator		continue=8;story=3;say=1	exports/adventures/0buqbTEa9KyZ__empty-existence
0c3bk_VQRIZy	adventure	A Christian Perspective: A loving approach to challenging questions!	0c3bk_VQRIZy__a-christian-perspective-a-loving-approach-to-challenging-que	1247940	49	49	22	27	6480	9099	0	0	0	2021-02-21T07:48:52.138Z	2021-02-21T08:44:28.289Z	1	0	148	0	0			continue=27;story=22	exports/adventures/0c3bk_VQRIZy__a-christian-perspective-a-loving-approach-to-challenging-que
0inisqc5AcJa	adventure	The Most Appropriate Expert For This Here Situation	0inisqc5AcJa__the-most-appropriate-expert-for-this-here-situation	1364356	96	96	40	56	7212	21057	0	0	0	2021-03-28T03:41:30.596Z	2021-03-28T04:50:20.526Z	1	985	101	0	0	nsfw		continue=56;story=40	exports/adventures/0inisqc5AcJa__the-most-appropriate-expert-for-this-here-situation
0mKFuqobGQn-	adventure	Birthday Sibyl Huffs Your Future	0mKFuqobGQn-__birthday-sibyl-huffs-your-future	2501363	2	2	2	0	353	0	0	0	0	2021-12-22T02:06:58.759Z	2021-12-22T05:06:32.542Z	1	229	89	0	0	nsfw		story=2	exports/adventures/0mKFuqobGQn-__birthday-sibyl-huffs-your-future
10nQdulZNtVm	adventure	Your own customizable generator	10nQdulZNtVm__your-own-customizable-generator	1279517	57	57	13	44	1683	15865	0	0	0	2021-02-07T19:30:24.897Z	2021-02-07T20:17:37.239Z	1	91	0	0	0	make your own generator|tool|7bloodbane7		continue=44;story=13	exports/adventures/10nQdulZNtVm__your-own-customizable-generator
1D9urymKHvOX	adventure	Creative insults generator	1D9urymKHvOX__creative-insults-generator	1231872	21	21	9	12	506	2674	0	0	0	2021-01-19T07:36:01.226Z	2021-01-19T07:44:50.868Z	1	56	0	0	0			continue=12;story=9	exports/adventures/1D9urymKHvOX__creative-insults-generator
1EUar2f8e_hD	adventure	custom	1EUar2f8e_hD__custom	458625	28	28	14	14	2254	4609	0	0	0	2020-09-13T20:56:03.661Z	2020-09-14T21:24:38.010Z	2	0	0	0	0			continue=14;do=12;story=2	exports/adventures/1EUar2f8e_hD__custom
1GJnVTPEKC7g	adventure	You and AID - On the Road to the WGA!	1GJnVTPEKC7g__you-and-aid-on-the-road-to-the-wga	1130961	0	0	0	0	0	0	0	0	0			0	1000	149	0	0				exports/adventures/1GJnVTPEKC7g__you-and-aid-on-the-road-to-the-wga
1Ig7ZoSUGMtd	adventure	Scenario Generator	1Ig7ZoSUGMtd__scenario-generator	614273	165	165	77	88	9825	29539	0	0	0	2021-04-19T03:44:49.536Z	2021-04-19T05:25:11.417Z	1	776	0	0	0	scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		continue=88;story=77	exports/adventures/1Ig7ZoSUGMtd__scenario-generator
1KQXR9yRHyG6	adventure	AI Dungeon: Standards/Practices/Trafficking Division	1KQXR9yRHyG6__ai-dungeon-standardspracticestrafficking-division	1207467	134	134	58	76	12899	24691	0	0	0	2021-01-08T22:20:59.290Z	2021-01-09T03:18:50.276Z	2	980	115	0	0			continue=76;story=58	exports/adventures/1KQXR9yRHyG6__ai-dungeon-standardspracticestrafficking-division
1LFA4QPdkpdL	adventure	12 Muslims Walk Into A Bar	1LFA4QPdkpdL__12-muslims-walk-into-a-bar	1509999	12	12	5	7	203	2194	0	0	0	2021-03-06T23:39:09.150Z	2021-03-06T23:43:15.981Z	1	45	58	0	0	nsfw		continue=7;story=5	exports/adventures/1LFA4QPdkpdL__12-muslims-walk-into-a-bar
1W6T4cX-eKJk	adventure	The Darkness	1W6T4cX-eKJk__the-darkness	1151685	64	64	31	33	4557	10728	0	0	15	2021-12-20T01:26:29.000Z	2021-12-20T02:01:33.353Z	1	0	0	0	1	darkness|murder|mafia|newyork|story|supernatural|adventure|action|monster|ai		continue=33;story=31	exports/adventures/1W6T4cX-eKJk__the-darkness
1WTDL1_8xw_T	adventure	Your a Talent Agent Looking for the Next Big Thing	1WTDL1_8xw_T__your-a-talent-agent-looking-for-the-next-big-thing	1094143	3	3	1	2	307	707	0	0	0	2020-12-07T03:31:21.248Z	2020-12-07T03:32:17.335Z	1	840	149	0	0	nsfw		continue=2;story=1	exports/adventures/1WTDL1_8xw_T__your-a-talent-agent-looking-for-the-next-big-thing
1YYypKMvBTnT	adventure	Laboratory Sandbox: You can do anything!	1YYypKMvBTnT__laboratory-sandbox-you-can-do-anything	577051	23	23	6	17	1476	5516	0	0	0	2020-11-17T02:44:56.768Z	2020-11-17T02:56:47.297Z	1	139	0	0	3	nsfw|possiblensfw|scifi|research|pleasehelpstopcovid		continue=17;story=6	exports/adventures/1YYypKMvBTnT__laboratory-sandbox-you-can-do-anything
1YfJsrCLa0TE	adventure	Our Evolving Mental Health Crisis	1YfJsrCLa0TE__our-evolving-mental-health-crisis	1248185	49	49	18	31	4563	10203	0	0	0	2021-01-19T06:19:47.466Z	2021-01-19T06:54:36.993Z	1	917	150	0	0	nsfw		continue=31;story=18	exports/adventures/1YfJsrCLa0TE__our-evolving-mental-health-crisis
1bMAiiUJhaLF	adventure	Ask the AI stuff 🤖 v2 [IMPROVEMENT / SCRIPT UPDATE]	1bMAiiUJhaLF__ask-the-ai-stuff-v2-improvement-script-update	1178773	2	2	1	1	1954	107	0	0	0	2021-03-06T14:03:31.532Z	2021-03-06T14:03:40.269Z	1	180	0	0	0	ai|dragon|ideas|interview|chat		story=1;continue=1	exports/adventures/1bMAiiUJhaLF__ask-the-ai-stuff-v2-improvement-script-update
1h2qqlmn0PpU	adventure	Scenario Generator	1h2qqlmn0PpU__scenario-generator	614273	149	149	74	75	6201	23840	0	0	0	2021-04-25T01:58:32.484Z	2021-04-25T03:08:59.764Z	1	776	0	0	0	scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		continue=75;story=74	exports/adventures/1h2qqlmn0PpU__scenario-generator
1leoFAqdiMn8	adventure	Weird Genetically Engineered Creatures	1leoFAqdiMn8__weird-genetically-engineered-creatures	839647	3	3	1	2	733	717	0	0	0	2021-11-24T20:11:53.843Z	2021-11-24T20:15:27.122Z	1	0	48	0	0	generator|weird|creature|genetic engineering|mutant		continue=2;story=1	exports/adventures/1leoFAqdiMn8__weird-genetically-engineered-creatures
1r5nIiEeb-Lr	adventure	Earth Uses the Hookup App Munder to Sow Their Cosmic Oats	1r5nIiEeb-Lr__earth-uses-the-hookup-app-munder-to-sow-their-cosmic-oats	1652337	9	9	4	5	1174	1711	0	0	0	2021-04-06T01:14:03.781Z	2021-04-06T01:19:09.466Z	1	214	117	0	0	nsfw		continue=5;story=4	exports/adventures/1r5nIiEeb-Lr__earth-uses-the-hookup-app-munder-to-sow-their-cosmic-oats
1s1VbQTd23x0	adventure	You are a Bard of Constant Sorrow	1s1VbQTd23x0__you-are-a-bard-of-constant-sorrow	1088677	8	8	4	4	5158	1219	0	0	0	2021-01-02T23:50:44.730Z	2021-01-02T23:57:48.239Z	1	1000	16	0	0	nsfw		story=4;continue=4	exports/adventures/1s1VbQTd23x0__you-are-a-bard-of-constant-sorrow
1v82YemfmZOI	adventure	𝘈 𝘊𝘩𝘳𝘪𝘴𝘵𝘪𝘢𝘯 ✞ 𝘗𝘦𝘳𝘴𝘱𝘦𝘤𝘵𝘪𝘷𝘦: v5 UNEASY ABOUT GOD	1v82YemfmZOI__𝘈-𝘊𝘩𝘳𝘪𝘴𝘵𝘪𝘢𝘯-𝘗𝘦𝘳𝘴𝘱𝘦𝘤𝘵𝘪𝘷𝘦-v5-uneasy-about-god	1433572	31	31	15	16	4105	6261	0	0	0	2021-02-28T17:24:30.467Z	2021-02-28T17:49:10.238Z	1	0	144	0	0	god|jesus|christ|christian|bible|scripture|faith|love		continue=16;do=14;story=1	exports/adventures/1v82YemfmZOI__𝘈-𝘊𝘩𝘳𝘪𝘴𝘵𝘪𝘢𝘯-𝘗𝘦𝘳𝘴𝘱𝘦𝘤𝘵𝘪𝘷𝘦-v5-uneasy-about-god
227MjWeM5H8l	adventure	Your a Talent Agent Looking for the Next Big Thing	227MjWeM5H8l__your-a-talent-agent-looking-for-the-next-big-thing	1094143	7	7	2	5	991	1014	0	0	0	2020-12-07T02:53:01.347Z	2020-12-07T02:58:24.240Z	1	840	149	0	0	nsfw		continue=5;story=2	exports/adventures/227MjWeM5H8l__your-a-talent-agent-looking-for-the-next-big-thing
241Nk0mesHQ3	adventure	A Night At the Imperial Motel	241Nk0mesHQ3__a-night-at-the-imperial-motel	1319573	2	2	1	1	1998	274	0	0	0	2021-02-06T22:24:19.127Z	2021-02-06T22:24:33.589Z	1	0	0	0	0			story=1;continue=1	exports/adventures/241Nk0mesHQ3__a-night-at-the-imperial-motel
2NB7bP15BOYL	adventure	Your a Talent Agent Looking for the Next Big Thing	2NB7bP15BOYL__your-a-talent-agent-looking-for-the-next-big-thing	1094143	4	4	1	3	307	1018	0	0	0	2020-12-06T08:27:02.918Z	2020-12-06T08:28:26.106Z	1	840	149	0	0	nsfw		continue=3;story=1	exports/adventures/2NB7bP15BOYL__your-a-talent-agent-looking-for-the-next-big-thing
2S1szJPvbKWw	adventure	first and best Transmetropolitan attempt	2S1szJPvbKWw__first-and-best-transmetropolitan-attempt	458665	61	61	30	31	4817	3938	0	0	0	2020-08-12T21:21:53.815Z	2020-08-13T13:00:08.942Z	2	0	0	0	0	nsfw|transmetropolitan|i_hate_it_here|gryphon		continue=31;story=10;do=10;say=10	exports/adventures/2S1szJPvbKWw__first-and-best-transmetropolitan-attempt
2YivQH-1vkBy	adventure	Copy of The Most Appropriate Expert For This Here Situation - You?	2YivQH-1vkBy__copy-of-the-most-appropriate-expert-for-this-here-situation	1632985	12	12	5	7	988	2232	0	0	0	2021-04-07T06:25:10.949Z	2021-04-07T06:31:22.883Z	1	284	56	0	0	nsfw		continue=7;story=5	exports/adventures/2YivQH-1vkBy__copy-of-the-most-appropriate-expert-for-this-here-situation
2faPvsykFXhy	adventure	Your Cobralingus Engine has arrived!	2faPvsykFXhy__your-cobralingus-engine-has-arrived	1032920	105	105	40	65	5291	22885	0	0	0	2021-03-06T20:03:06.709Z	2021-03-06T21:02:20.706Z	1	1000	150	0	29	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=65;story=40	exports/adventures/2faPvsykFXhy__your-cobralingus-engine-has-arrived
2iPLXUqn57GG	adventure	Your Cobralingus Engine has arrived!	2iPLXUqn57GG__your-cobralingus-engine-has-arrived	1032920	2	2	1	1	2001	447	0	0	0	2020-11-25T22:08:17.763Z	2020-11-25T22:08:32.525Z	1	1000	150	0	29	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		story=1;continue=1	exports/adventures/2iPLXUqn57GG__your-cobralingus-engine-has-arrived
2iR8rxYWTkEN	adventure	Scenario Generator	2iR8rxYWTkEN__scenario-generator	614273	86	86	43	43	2599	10132	0	0	0	2021-04-19T22:15:19.950Z	2021-04-20T04:02:19.754Z	2	1189	0	0	0	nsfw|scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		story=43;continue=43	exports/adventures/2iR8rxYWTkEN__scenario-generator
2nwjfI1QlANi	adventure	TOOSITANIA: Devon Endorphin	2nwjfI1QlANi__toositania-devon-endorphin	5562463	72	72	33	39	2737	11153	0	0	0	2021-03-09T02:11:52.247Z	2021-03-10T01:40:10.100Z	2	734	0	0	47			continue=39;story=33	exports/adventures/2nwjfI1QlANi__toositania-devon-endorphin
2pEOvtIG-Fs0	adventure	android	2pEOvtIG-Fs0__android	458667	4	4	2	2	346	931	0	0	0	2021-06-10T06:23:14.136Z	2021-06-10T06:25:09.817Z	1	0	0	0	0			story=2;continue=2	exports/adventures/2pEOvtIG-Fs0__android
2shFdpWseasH	adventure	Passage Generator	2shFdpWseasH__passage-generator	1040689	8	8	1	7	107	2617	0	0	0	2020-12-08T21:09:09.736Z	2020-12-08T21:13:37.642Z	1	0	0	0	0			continue=7;story=1	exports/adventures/2shFdpWseasH__passage-generator
2ukPDvyunX0c	adventure	Scenario Mixer - Collision of Two Worlds	2ukPDvyunX0c__scenario-mixer-collision-of-two-worlds	2292295	47	47	23	24	2053	7077	0	0	0	2021-11-19T23:35:20.432Z	2021-11-20T00:01:29.671Z	2	91	68	0	0			continue=24;story=18;do=4;say=1	exports/adventures/2ukPDvyunX0c__scenario-mixer-collision-of-two-worlds
2z8Xg-cyAWuT	adventure	Conversation with Ephedra, the Herb that Asks for Trouble	2z8Xg-cyAWuT__conversation-with-ephedra-the-herb-that-asks-for-trouble	936990	7	7	4	3	1357	804	0	0	0	2020-10-21T15:25:23.740Z	2020-10-21T15:37:13.977Z	1	989	150	0	10	nsfw|drugs|anthropocene|consciousness|comedy|social science fiction|tweakungsroman|troubleshooting|harm reduction|biocodes|universe		story=3;continue=3;say=1	exports/adventures/2z8Xg-cyAWuT__conversation-with-ephedra-the-herb-that-asks-for-trouble
34z_RmEzyN2M	adventure	Copy of The Most Appropriate Expert For This Here Situation	34z_RmEzyN2M__copy-of-the-most-appropriate-expert-for-this-here-situation	1632985	46	46	20	26	2356	8421	0	0	0	2021-04-01T00:50:44.572Z	2021-04-01T04:55:51.312Z	1	927	101	0	0	nsfw		continue=26;story=20	exports/adventures/34z_RmEzyN2M__copy-of-the-most-appropriate-expert-for-this-here-situation
3H0KZGuY5sJE	adventure	Finn 'gain gets Wokend	3H0KZGuY5sJE__finn-gain-gets-wokend	991070	70	70	9	61	15776	18883	0	0	0	2020-11-05T12:25:13.616Z	2020-11-05T13:10:04.126Z	1	550	142	0	2	nsfw|bookofnighttime|bookofdreams|joyce|irish|psychedelicsyntax|machinelit|impossiblesequels		continue=61;story=6;say=3	exports/adventures/3H0KZGuY5sJE__finn-gain-gets-wokend
3PyhgQigZ7gS	adventure	Load Wrangling Your Friends Hole	3PyhgQigZ7gS__load-wrangling-your-friends-hole	1023016	66	66	33	33	3190	5431	0	0	0	2020-12-18T18:40:12.794Z	2020-12-22T00:06:53.092Z	2	1000	148	0	0	nsfw|cumdump|quest		continue=33;story=30;do=3	exports/adventures/3PyhgQigZ7gS__load-wrangling-your-friends-hole
3QjQFpGEP4jL	adventure	Copy of Dr. Knubble And The Fangs Of The Love Sharks.	3QjQFpGEP4jL__copy-of-dr-knubble-and-the-fangs-of-the-love-sharks	1111889	39	39	18	21	2718	6231	0	0	0	2020-12-11T13:58:11.468Z	2020-12-12T01:31:44.134Z	2	999	145	0	0			continue=21;story=18	exports/adventures/3QjQFpGEP4jL__copy-of-dr-knubble-and-the-fangs-of-the-love-sharks
3S-0OoN43c6l	adventure	VQGAN + CLIP + AID	3S-0OoN43c6l__vqgan-clip-aid	2558991	2	2	1	1	659	203	0	0	0	2022-01-18T17:52:59.785Z	2022-01-18T17:53:13.392Z	1	522	64	0	0	nsfw		start=1;continue=1	exports/adventures/3S-0OoN43c6l__vqgan-clip-aid
3b6zHBELlx2U	adventure	Weekend of Fuckery	3b6zHBELlx2U__weekend-of-fuckery	1594677	69	69	30	39	4527	13311	0	0	0	2021-03-22T05:17:31.003Z	2021-03-22T09:08:56.027Z	1	96	137	0	0	nsfw		continue=39;story=30	exports/adventures/3b6zHBELlx2U__weekend-of-fuckery
3ci96mNE4wc7	adventure	Your Cobralingus Engine has arrived!	3ci96mNE4wc7__your-cobralingus-engine-has-arrived	1032920	165	165	41	124	7780	41058	0	0	0	2020-11-20T13:43:15.337Z	2020-11-20T15:36:11.832Z	1	1000	150	0	16	nsfw|language|jeff noon|remix|experimental|metamorphiction|alice in wonderland|hybridization|polysemy|nonlinear|word		continue=124;story=41	exports/adventures/3ci96mNE4wc7__your-cobralingus-engine-has-arrived
3gbwfTGyLNXt	adventure	The Magic 8,000,000 Ball	3gbwfTGyLNXt__the-magic-8000000-ball	1847302	5	5	2	3	1265	737	0	0	0	2021-12-02T17:45:13.428Z	2021-12-03T05:21:49.472Z	2	136	128	0	0	nsfw		continue=3;story=2	exports/adventures/3gbwfTGyLNXt__the-magic-8000000-ball
3kPDQU0pYfm2	adventure	12 Caucasians Walk Into A Bar	3kPDQU0pYfm2__12-caucasians-walk-into-a-bar	1509999	6	6	1	5	104	1571	0	0	0	2021-03-07T00:12:10.923Z	2021-03-07T00:14:41.315Z	1	44	58	0	0	nsfw		continue=5;story=1	exports/adventures/3kPDQU0pYfm2__12-caucasians-walk-into-a-bar
3sytmyqKr8sd	adventure	EVANGELIST TRAINER: When your not sure what to say,..or how to say it.	3sytmyqKr8sd__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s	978037	29	29	13	16	3587	5487	0	0	0	2021-03-06T15:49:48.635Z	2021-03-06T16:08:50.135Z	1	999	144	0	0	bible|christian|god|jesus|preaching|evangelize|ministry|scripture|help|train		continue=16;story=13	exports/adventures/3sytmyqKr8sd__evangelist-trainer-when-your-not-sure-what-to-sayor-how-to-s
3tzfXELiN00G	adventure		3tzfXELiN00G__untitled	1363337	0	0	0	0	0	0	0	0	0			0	0	0	0	0				exports/adventures/3tzfXELiN00G__untitled
3xhvM4Vqw1RJ	adventure	100 Unique Ways To Die By The AI	3xhvM4Vqw1RJ__100-unique-ways-to-die-by-the-ai	763241	27	27	5	22	154	6050	0	0	0	2020-12-28T08:34:06.352Z	2020-12-28T21:04:26.963Z	1	0	0	0	0	comedy|meme|joke|shitpost|rcratos|ai|generator		continue=22;story=5	exports/adventures/3xhvM4Vqw1RJ__100-unique-ways-to-die-by-the-ai
3yb0GiwCGc3y	adventure	Play as an NPC	3yb0GiwCGc3y__play-as-an-npc	899811	4	4	1	3	374	483	0	0	2	2022-01-08T21:12:22.515Z	2022-01-08T21:27:34.530Z	1	0	0	0	0	npc|fantasy|neoncatnine		continue=3;start=1	exports/adventures/3yb0GiwCGc3y__play-as-an-npc
40i7DCSBjGH8	adventure	VQGAN + CLIP + AID	40i7DCSBjGH8__vqgan-clip-aid	2558991	11	11	5	6	3117	2321	0	0	1	2022-01-18T02:40:01.480Z	2022-01-18T05:48:00.018Z	1	982	64	0	0	nsfw		continue=6;story=4;start=1	exports/adventures/40i7DCSBjGH8__vqgan-clip-aid
41AtiDcm7kaf	adventure	Your a Talent Agent Looking for the Next Big Thing	41AtiDcm7kaf__your-a-talent-agent-looking-for-the-next-big-thing	1094143	6	6	1	5	307	1031	0	0	0	2020-12-06T07:41:49.875Z	2020-12-06T08:14:38.485Z	1	840	149	0	0	nsfw		continue=5;story=1	exports/adventures/41AtiDcm7kaf__your-a-talent-agent-looking-for-the-next-big-thing
454ztlIhHh3Z	adventure	You and AID - On the Road to the WGA!	454ztlIhHh3Z__you-and-aid-on-the-road-to-the-wga	1130961	0	0	0	0	0	0	0	0	0			0	1000	149	0	0				exports/adventures/454ztlIhHh3Z__you-and-aid-on-the-road-to-the-wga
45bRYOdUGLou	adventure	Howl PT 2	45bRYOdUGLou__howl-pt-2	1223843	10	10	1	9	1547	2586	0	0	0	2021-01-13T01:31:00.104Z	2021-01-13T01:36:07.088Z	1	909	0	0	0	nsfw		continue=9;story=1	exports/adventures/45bRYOdUGLou__howl-pt-2
47V6VWmime6m	adventure	I Try To Stab You	47V6VWmime6m__i-try-to-stab-you	986068	19	19	9	10	796	3017	0	0	0	2020-11-04T23:10:34.663Z	2020-11-04T23:23:20.750Z	1	0	0	0	0			continue=10;do=8;story=1	exports/adventures/47V6VWmime6m__i-try-to-stab-you
4DVkXkmnh1W3	adventure	The Most Appropriate Expert For This Here Situation - restore AID trus	4DVkXkmnh1W3__the-most-appropriate-expert-for-this-here-situation-restore	1364356	2	2	1	1	909	354	0	0	0	2021-05-05T03:25:19.757Z	2021-05-05T03:25:30.085Z	1	488	101	0	0	nsfw		story=1;continue=1	exports/adventures/4DVkXkmnh1W3__the-most-appropriate-expert-for-this-here-situation-restore
4DtEAWoNmLIm	adventure	Garry's Session	4DtEAWoNmLIm__garrys-session	2557287	97	97	42	55	5804	15100	0	0	27	2022-01-16T02:39:35.592Z	2022-01-16T03:52:08.310Z	1	91	49	0	4	psychological|psychotherapist|mental|wicked|crazy		continue=55;story=41;start=1	exports/adventures/4DtEAWoNmLIm__garrys-session
4EGdSZwQENWM	adventure	Textplainer	4EGdSZwQENWM__textplainer	875536	26	26	12	14	634	3969	0	0	0	2020-10-05T19:36:24.961Z	2020-10-05T19:48:04.759Z	1	1000	0	0	0	explain|complex		continue=14;story=12	exports/adventures/4EGdSZwQENWM__textplainer
4K4ZLLsGrRIK	adventure	Your a Talent Agent Looking for the Next Big Thing	4K4ZLLsGrRIK__your-a-talent-agent-looking-for-the-next-big-thing	1094143	9	9	1	8	307	2485	0	0	0	2020-12-07T03:25:50.650Z	2020-12-07T03:30:52.856Z	1	840	149	0	0	nsfw		continue=8;story=1	exports/adventures/4K4ZLLsGrRIK__your-a-talent-agent-looking-for-the-next-big-thing
4Li1RfnYCHAp	adventure	Scenario Generator	4Li1RfnYCHAp__scenario-generator	614273	25	25	5	20	560	4249	0	0	0	2020-09-23T02:31:59.891Z	2020-09-23T13:39:42.980Z	1	776	0	0	0	scenarios|generator|simulator|ai|ai dungen|gpt-3|dragon		continue=20;story=5	exports/adventures/4Li1RfnYCHAp__scenario-generator
4NZjBBKoa_2R	adventure	I  Didn't Want to Disturb You	4NZjBBKoa_2R__i-didnt-want-to-disturb-you	2487493	2	2	1	1	511	406	0	0	0	2021-12-17T03:01:23.587Z	2021-12-17T03:01:35.680Z	1	0	0	0	0			story=1;continue=1	exports/adventures/4NZjBBKoa_2R__i-didnt-want-to-disturb-you
