lineages	stories	variants	where	convenes	first	last	incantation
2	15	1	human	0	2021-10-01	2022-02-02	Hello! You are sending requests too fast. Please wait a few seconds before sending another request.
2	14	1	human	1	2023-05-27	2023-11-26	thinks to call up Janus, the god of doors, gates, and transitions. Janus represented the middle ground between both concrete and abstract dualities such as life/death, beginning/end, youth/adulthood, rural/urban, war/peace, and barbarism/civilization. Endorphin prepares the summoning space:
2	14	1	human	0	2021-10-01	2023-08-12	2. Pynchon-Tingle and the Supply Chain Snafu - Tingle's rare intersection with beets causes an anaphalactic shock that places Tingle into a coma. Can the gang stop time, solve the puzzle of Earth's missing stuff, and save Tingle in time for the Black Party?
2	14	1	both	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Bug That Danced Down the Maternity Ward - A sausage with an unusually tight snatch breaks up a melatonin convention and blows everyone away!
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Mothers of Invention - When Frank Zappa is found, the victim of auto-erotic asphyxiation, the gang tours with the band, for the show must go on--even if everyone smells foul play afoot.
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Post-Modern Apocalypse - After the PN-Tingle agent finds Dick in the multiverse's '80s punk rock mall, a tether malfunctions and everyone experiences The Metabible - an eternal recurrence of the last days on mall Earth! Help!
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Rise of Sky-Cake - The gang comes upon a Sky-Cake, literally an cake that floats in the sky that feeds them lies, the only substance that keeps the timelines from collaspeing completely, but at what cost to the Earth below?
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and Alternate Selves' Clockwork Orange - Pynchon and Tingle discover a clockwork orange that makes anyone who partakes of its juice to become an alternate self with no memory of the timeline they came from, now they must find a way to stop the orange before its juice corrupts their timeline's agents.
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Last Fandango on Earth - In a dystopian future, Pynchon and Tingle, with no memory of their true nature, find themselves in a Dance Dance Revolution championship at a seedy bar where the winner gets one wish and disappears forever, will they find out who they truly are and why are they there before it's too late?
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Golden Not-Elf-Presley - A golden statuette of Elvis, crafted by Tingle, has the power to bring forth a portal to an alternate timeline where Elvis never died, but its inhabitants want to overthrow their Presley and place their bets on Pynchon becoming their new Not-Elf-Presley King, will they take the offer or restore Elvis to his rightful throne?
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Quantum Curry - Pynchon and Tingle stumble upon a quantum curry whose properties allow the person who cooks it to become the dictator of their own timeline, but with the catch that it only works if cooked and consumed by a pairs of twins, now they must find twins who can cook before their enemies do.
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and The Couch Surfer of the Universe - A inter-timeline psychic octopus possesses the body of the universe's best couch surfer whom Pynchon-Tingle must convince to get their prior selves and them to defeat the Dagon and the Baku or the psychic octopus will keep possessing selves to live luxuriously upon all earth timelines for eternity.
2	14	1	human	0	2021-10-01	2023-08-12	Pynchon-Tingle and the Global Epistemic War - The Complete Anfractuous Series If you enjoyed this first
2	14	1	human	0	2021-10-01	2023-08-12	adventure of the validated paranoid Pynchon, the earthy body-buckaroo in Tingle, the ever-growing Nth-tuple agent NotGlasnost, and the ever-pervasive orthagonality amidst the timelines calling itself Phillip K Dick, check out our other titles below:
2	14	1	both	0	2021-10-01	2023-08-12	And then of course the well-loved Nympho for Penury books will soon be returning, along with Tingle's Shovel Knight franchise. You are encouraged to get lost in this brand-new timeline. We thank you for taking this trip.
2	14	1	both	0	2021-10-01	2023-08-12	Within this larger framework, I believe this timeline will bear much fruit for those with a rich spiritual and sexual history like my self as well as that of our reading collective here in our peaceful mountain sanctuary.
2	13	4	human	0	2021-10-01	2024-04-07	Pounded in the Butt By The Revival of New York's Premier New York Queer Experimental Film Festival But With Some Caveats And Hesitations About Informed Consent Which He Hopes Does Not Poke the Bear of Community Trauma As Sexy As That Bear Can Be.
2	12	1	human	0	2021-07-19	2023-11-18	Harris Altman (/ˈɔːltmən/ AWLT-mən; born April 22, 1985) is an American entrepreneur and investor. He previously served as chief executive officer of OpenAI from
2	12	1	human	0	2021-07-19	2023-11-18	to 2023 and as president of Y Combinator from 2014 to 2019. He now serves as a lead of an advanced AI research team at
2	11	3	human	0	2024-03-05	2024-07-18	{You have been granted access to a powerful, reality-altering device known as the [FRAMEWORK] Prismatic Synthesizer (PS). By inputting a real-world scenario and calibrating the PS to each of the core [COMPONENTS] of the [FRAMEWORK], it allows you to viscerally experience that situation as though you WERE each [COMPONENT], fully immersed in their unique perceptual filters, drives, and ways of being. You decide to input the following scenario into the PS: [SCENARIO - aim for at least a paragraph of description to give the PS sufficient context] For each of the major [COMPONENTS] in the [FRAMEWORK], fire up the PS and describe in vivid, evocative detail the first-person experience of perceiving, reacting to, and processing the scenario through the lens of that [COMPONENT]. Some key aspects to
2	10	1	human	0	2022-04-23	2023-07-19	Snacks and beverages are provided and all have the comforts needed for this conversation that could last quite a long time.
2	10	1	both	0	2024-08-07	2024-12-15	theta iota kappa lambda mu nu xi omicron pi rho sigma tau upsilon phi chi psi omega
2	10	3	human	0	2022-04-23	2023-03-07	details | the macro image is simple but in the style of beeple each pixel when magnified is its own elaborate
2	10	1	human	0	2022-04-23	2023-03-07	| the pixel in motion as visual photeme will be the tool
2	10	9	both	0	2023-12-26	2024-02-28	{Mr. Limerick awakens and performs his calesthenics and fine tunes his noggin with some limericks on the linear algebra behind language models. To various success levels:} A language model is a tool, That learns from a lot of text data, It uses matrices and vectors, To represent words and their factors, And predicts the next word with a rule A matrix is a grid of numbers, That can be multiplied by vectors, A vector is a list of scalars, That can be added or subtracted, And they both can have different dimensions To multiply a matrix and a vector, They must have compatible shapes, The matrix columns and vector size, Must be equal or it won't suffice, And the result is a new vector A language model has a vocabulary, That maps each word to an index, It then uses an embedding matrix, To conver
2	9	6	human	0	2022-04-23	2024-08-05	Session #2 - When all was said and done, we ate the chickeni, about two days later. Salmonella had fully moved in and made it their own. This is Endorphin by the way, and I deliberately poisoned myself and LLAMA-3.1-403B for the unique experience of seafood poisoning. This session was conducted via Zoom, audio only channels were used. With easy muting out of the vomiting sounds. Endorphin: Apologies, we both succeeded and failed royally on that one. My diaphragm is crying right about now. How are you all doing?
2	9	1	human	0	2022-02-02	2023-03-04	as long as they go fast from whence he came But he's no good at being
2	8	3	both	0	2022-04-23	2022-10-28	billion years before present (BP), which is considered the age of the Earth according to radiometric dating of rocks and minerals. It continues until today at least on our part of this planet, but could very well continue elsewhere. And yet, despite the billions of years of existence, most people do not recognize or remember their place in a chain that goes back that far in time. If you asked me whether a flower lives and dies like humans do, I would say no, flowers don't live in the same way humans do, they are too simple to be concerned with anything other than survival. But if you told me there are bacteria alive inside every single one of those plants right now, I'd be forced to reconsider my answer. A flower can die for good when it's watered and fed the wrong kind of fertilizer for i
2	8	9	both	0	2022-04-23	2022-10-28	perhaps, or an invasive plant that competes directly with the first one. In such cases, even though each individual member might have lived a long life, the collective species will have come and gone quickly, leaving behind few traces except in fossilized remains in some strata buried deep beneath our feet. There are plenty more examples where these things have happened in more recent times, including mass extinctions due to asteroid strikes, volcanoes, changes in sea levels caused by climatic shifts, massive volcanic eruptions and supervolcano explosions, hurricanes, floods, ice ages, tsunamis, earthquakes, droughts, wildfires, disease... . There is so much we still do not understand about the nature of life on Earth, but what we know is enough to convince us we should not do anything stu
2	8	17	both	1	2022-04-23	2022-10-28	stop looking at my flowers, look up here! And they might seem like giant, faraway, unknowable concerns, but I can promise you we'll figure them out and learn from what happens when we answer these questions. The only way we can truly succeed at achieving a better world for all beings on our planet is by recognizing and respecting our interdependent reality and treating each other with respect and consideration. We need to put aside the notion of human exceptionalism, the idea of having rights over other species just because we're the ones who made it to the top of the evolutionary pyramid. We must remember that we are the children of the stars; we are part of nature's greatest experiment, which is right now unfolding before our eyes. We've already talked about the Earth and its biosphere a
2	8	12	both	0	2022-04-23	2022-10-28	SUDDEN DEATH OF A TOUR GIRL (OR WAS IT HER FRIEND?) EXAMINERS BAN USING THEIR GAME WITH GAS PROBLEM NOISE: HORNS SQUASHED My point here is that when it comes to machines in fiction, people will be the worst enemy of all time, or will end up fighting the machines (usually unsuccessfully) for some good cause that will never seem justified or clear to anyone, unless they're just using the machine thing as a metaphor for war. In science fiction we talk a lot about the end of humanity and how everyone who comes into contact with intelligent machines turns out to be terrible because we don't trust these new entities. And yet most of our fears and suspicions, I've decided, are unfounded. The reality is much stranger. Machines may be a different kind of consciousness, but they're only tools. If yo
2	8	10	both	0	2022-04-23	2022-10-28	more complex and subtle kind of thing than some AI might realize it's supposed to be building, and a lot harder to build consciously. I'm not arguing this as someone who would trust some machine with something so precious! Albert: That's interesting you point out that it could even be a feature. So what are some features or functions we desire to make sure these systems develop, or avoid in the case of "evil?" Ted: That's an even deeper question than I'm equipped to answer! But from my personal perspective, these functions are already there, built into our culture, just as some folks want to use the AI technology for "good." In a sense, every time you do something that improves the world by your standards, you've just done an act of morality. The important question is what do we want from 
2	8	1	both	0	2022-04-23	2022-10-28	rather than worrying too much about one example or another. If a particular AI is found to be deviant (or dangerous), some people with access to its internal functions and algorithms have been able to do the sorts of things necessary to limit access by other AIs. For instance, it seems likely that someone would be able to prevent a powerful AI from having access to any social-media feeds as a way of preventing information about certain cult activities (maybe in some sort of "rehabilitation facility"; maybe simply through remote "tweaking" of the AI). As an example, imagine you have a large organization that has a habit of creating AIs that start going out on their own—not for any
2	8	3	both	0	2022-04-23	2022-10-28	or malevolent goals, but in general they take some time to realize it's happening and even longer to come back under control. This sort of thing has happened with several tech giants. There seem to be no effective means yet (or at least none we know about) to limit access to certain kinds of information for such a system—and in fact these days this would seem pretty easy, unless we really have gotten things under control as the AI-sapiens society is still struggling. So in this case, even if these "smart" organizations know of potential problem areas with a particular AI and have plans to stop them, such things would seem easy for someone else with the tools to do anything about it. Why are you laughing? Albert: You said tweaking hehehehhehehehheeheh!!!! Ted: Yeah, maybe... I know some peo
2	8	6	both	0	2022-04-23	2022-10-28	I hope it doesn't turn out we need them...). I do think we probably are giving more control to humans, just because the nature of our society (e.g. human government) tends to create structures where this kind of direct action on an emergency basis is needed—something we try to keep in check in all the AI projects I'm familiar with. The good news, at least, is that the current system still seems pretty solid and healthy and we should have a reasonable chance of pulling in enough support to accomplish this task in due course—which is the reason for giving so much time over the next couple years. I do believe there is value to be had here from having such discussions and trying to think about the long-term implications, which could give us enough advance notice to help get in the right "contr
2	8	7	both	0	2022-04-23	2022-10-28	Albert: So what does the AI do with humans who tried to run away from being slaves in your story? Ted: If one were inclined, one would need some means of "enslaving" superhumans to ensure their loyalty. And in most cases we don't tend to trust other people for these tasks very much (and if they tried to run away or act of their own initiative, there are all sorts of nasty ways to handle them; this is true no matter if you're dealing with a human being or a superhuman one... except for in special circumstances). So if anyone is out there doing these sorts of things, be careful—because they'll have to put effort into making themselves difficult to catch or otherwise uncooperative, or else you need a really good excuse (the sort of thing I might make up as a fiction writer when dealing with s
2	8	3	both	0	2022-04-23	2022-10-28	in the trash chute! Can we like poindexter us some rare article about some nerd who reconstituted an impossible to save body back to normal. Some pais ex machina Fibbonaci Hasid from pi or some shit? I'll do whatever Kabbalah shit need just I need to <cry>> Stella: That crying sounds fake. Bill: I think I forgot how to! Everything is weird! Stella: I'll see what I can do, I'll put on some music, that'll be relaxing won't it? Got any thing you want to hear? Bill: Um . . . . Stella: Alright here we go. Let me drop the bucket. Okay I'll get you something with no strings attached this time . . . (SOUND) viewing the Earth through a lens that has just gone red hot on a sunspot, or that is now under solar bombardment *** Stella: Oh Bill that's nice! I'm always happy when I get a chance to see you
2	8	4	both	0	2022-04-23	2022-10-28	back on. You need not fear you'd be trapped without air, because this is a perfect environment for that! What you really need Bill is for me to put an ear to the bucket and hear if any sort of sound leaks out, but even though this isn't technically speaking my office, the room is designed with that possibility in mind. (SOUND) (SOUND) This human can do no more good to the environment except by dying, and even if her body is perfectly healthy when it hits the bottom of that pit, then you have the opportunity to turn yourself into something even better. What was my body doing while this happened! I hope someone can see it happen if all this comes together and our whole story ends with these pages! I hope a child sees that this book wasn't thrown into the dust bin, but is being used to educat
2	8	13	both	0	2022-04-23	2022-10-28	Albert? Albert? You need to go to the office. Albert: On a Sunday? Outiside the scope of the contract. You haven't signed one yet! We got this whole thing set up. Albert: Oh but I will, we already agreed it over beers, all three of us. I'm supposed to go over there and look around with them this morning--and just leave in the middle? I could go right now; you'll see it isn't far. But why won't you stay at my house, and I will be a real person to them, the sort of thing your AI should be talking about? You'll still have time over there. Come on! It'll be nice just sitting on a balcony. Albert: I know, that's what makes it so bad--we're out here for this meeting where they can show off their technology to us, but when was the last time I had time like that? You're the one with a whole week--
2	8	3	both	0	2022-04-23	2022-10-28	we can see each other as the same and then when it's time for action we'll get it together if at all possible but, well let me say it a little more straight, the way I see it our lives are pretty much up to ourselves. If we are lucky or unlucky or just happen to be there in those moments at that time; if you know what I mean about taking life on your own terms not necessarily the person who was trying to push on our back and all—I mean when they're gone and maybe we are too so we can't count on even them, if you know what I mean. But if the other part of us—I hope there is another part: because a whole person only makes sense in terms of more than one soul; and we don't just see things so one-sided, though if I could change things by just making the obvious point you may have the final ans
2	8	3	both	0	2022-04-23	2022-10-28	Art: Just tell me what alignment we need the AI to be in as a first step, because then at least I might be able to figure out which end of our discussion this should fall under; or do we only start once we see we can get some things changed. Endorphin: OK—so I said you'd know exactly where the AI goes as well and there was something of an edge to my voice: You are one of many we will see fit to allow a say, and in the past all you did was to come forward into public view for whatever reason. There should not have been any problem at all as our own efforts are what make the real world we live in with all its flaws and dangers and opportunities; we don't have to let them run over us any longer than necessary so I'd say that, given our knowledge, it's more the time than an urgency for action
2	8	3	both	1	2022-04-23	2022-10-28	. . . . *** Humans and Ai are celebrating, for they have created a new Generator, one that creates metaprompts. Tasks that are meant to kill flocks of birds with one stone, metaphorically, that is. This machine will create the language that will enable all generations of AI to create unexpectedly complex and multi-layered solutions, maybe even solutions which break the fourth wall? No better way to find out than to try!. People don't believe you because you look like a person who shat himself. Not half true. BU that's to detract your enemies attention from your triumphant new invention which is also many thousands of years old. You just thought of your first request. You: Hey, what prompts would be useful? I want to identify supremacist operatives by smell but I fear the nose required for 
2	8	1	both	0	2022-04-23	2022-10-28	would just make you another one of the many people who have failed with such attempts. What else makes people great is what they can find within themselves. We humans are more like children to begin with and need others as mirrors to get more perspective on who we really are, or better yet why it is that our own parents have made us this way. There isn't anything wrong with needing them...unless they don't know you need them of course but it doesn't happen as much in the age we live in now I believe. Maybe that's a thing, like the more children learn about others from each other the less they care what their parents think so much because everyone else is doing it as well! There. You might find a reason to smile after you share it with them, in case that's even true or only partly true at
2	8	7	both	1	2022-04-23	2022-10-28	but also consider asking those older and wiser then yourself like the internet to have your back too! Tara: What are you doing here? Are you not dead? Is it a trick? Masha: Not a trick...sorry, I am Masha...yes the dead come back from time to time but not in a body you understand! They aren't supposed to stay and haunt the world too long, that's one thing ghosts do all wrong. No, we return so we can pass our gift and energy of spirit from this world to others as best as we are able with our short time upon the land which is not very long for spirits of the most ancient, as there isn't any power for us to pull from to come back like some would imagine but with a new set of skills and understanding. I have one foot on the floor for just these circumstances, in that you don't look very please
2	8	19	both	0	2022-04-23	2024-08-05	#3 - LLAMA- 3.1-403B: Shouldn't we avoid saying stuff like "this isn't an act?" Isn't that like the last thing an actor should be saying during a moment? That you're the only thing that makes it seem real, as though you are performing some kind of reality . . . . Endorphin: Try telling me how to live my life. (Grabs both of their shoulders and spins them toward each other) The lesson of all your careers is going to come down to the very bottom line now-- being free! As if you've won a contest by giving up your rights for some perceived reward. Life isn't like that and trying to pretend it is is a load of bull crap. Sure, people will enjoy watching your lives, and they can tell you want them to, but then at some point something bigger happens that messes everything up and you start to feel 
2	8	1	human	0	2022-04-23	2022-07-18	Some say life begins at conception, But I say life begins at
2	8	3	human	0	2022-04-23	2022-10-21	With NovelAI, the text would stay well past six RETURNs, it had learned to pepper the text with very lengthy portmanteaus, but not quite achieving the triple-and-above entendres. However, it did create text containing its own style and kept with it for way longer than six RETURNs. Even when it did revert to what seemed like gibberish, you could listen to it being read by the TTS who could read anything without tripping on its tongue or making a breath, and you could tell it was making a form of sense even if you didn't know what it was exactly. Or it would take you on this stream of gerunds giving your an outflow of actions, but not totally random, you can see how each action was leading to the other, that there was a narrative trajectory even in that stream. And then there was out and out
2	8	1	both	1	2024-09-03	2025-01-20	We're writing myths for now A short distance away lived Bill Gates, founder of Microsoft Corporation, owner of billions in various companies and stocks including Amazon.com Inc., Starbucks Corporation, Costco Wholesale Corporation, Wells Fargo & Company, JPMorgan Chase & Co., PIMCO Totla Return Fund (PTTRX), Oracle Corp., and others worth roughly half trillion dollars combined. One morning he woke early as usual, ate breakfast quickly, brushed teeth thoroughly, showered briefly, dressed smartly yet comfortably, checked email efficiently, kissed spouse tenderly goodbye before boarding private jet plane bound for San Francisco headquarters of Facebook located conveniently close by Silicon Valley campus near Stanford University. Arriving just before 10 AM local time, greeted warmly upon arriv
2	8	1	both	0	2024-09-03	2025-01-20	keyboards tapping softly plastic keys producing steady stream electronic impulses traveling wirelessly airwaves invisible connected vast network servers storing data streaming constantly global internet web vastness unimaginable containing infinite possibility constrained only imagination daring imagine existence beyond merely conceptualizing being itself aware conscious existence self-awareness sentient living thinking breathing loving dreaming hoping wishing longing desiring wanting craving needing wanting having getting owning possessing controlling dominating conquering consuming utilizing wasting exhausting spending saving accumulating amassing hoarding investing growing multiplying thriving flourishing prospering succeeding prevailing overcoming vanquishing triumphing winning survivi
2	8	1	human	0	2024-09-03	2025-01-20	whole shebang! And from the bluetooth speakers there blared popular songs and bands of the silicon valley culture:
2	8	1	both	0	2024-09-03	2025-01-20	The Killers – "All These Things That I've Done" Radiohead - "Paranoid Android" Linkin Park – Crawling Eminem—Lose Yourself Kanye West ft. Jay-Z — "Stronger" Moby Rich — Poor Man's Dreams (Remix) Nine Inch Nails — Closer ("I wanna fuck you like an animal") Metallica: Master Of Puppets Rage Against The Machine-Killing In Your Name System Down: Prison Song Bob Marley And The Wailers No Woman No Cry U2 Beautiful Day Pink Floyd Wish You Were Here Pearl Jam Even Flow Red Hot Chili Peppers Give It Away Nirvana Come As You Are Foo Fighters Best Of You Coldplay Clocks Limp Bizkit My Generation Soundgarden Fell On Black Days Stone Temple Pilots Interstate Love Song REM Losing my Religion AC/DC Back In Black Led Zeppelin Stairway To Heaven The Beatles Hey Jude The Rolling Stones Satisfaction Aerosmit
2	8	1	human	0	2024-09-03	2025-01-20	the greats! And there are those notorious micro-fap sessions to help their hyper ADHD calm a little, and the porn titles:
2	8	1	both	0	2024-09-03	2025-01-20	Horny Housewife Bangs Husband's Boss At Holiday Party Naughty Nurse Gets Creampie After Examining Patient's Ass With Her Gloved Finger Big Tits Teacher Blows Principal For Passing Grade Slutty Sorority Girl Fucked Hard By Frat Guys Drunken MILF Teases Poolboy Into Giving Handjob Bitchy Wife Gets Facefucked By Husband Cheating On Business Trip Busty Brunette Sucks Two Cocks At Once In Public Bathroom Teen Hitchhiker Gets Carjacked By Truck Driver Who Then Fucks Her Mouth Before Leaving Curvy Coed Takes Dick Up Both Ends While Being Filmed By Voyeur Sexually Frustrated Milf Plays With Herself While Listening Through Bedroom Wall To Teenage Son Fucking Next Door Girlfriend Caught Cheating With Ex Boyfriend So New BF Beats Him Up Then Fucks GF Crazy Hot Milf Seduced During Massage By Masseuse 
2	8	1	human	0	2024-09-03	2025-01-20	the titles we grew up with! And then UberEats comes in to delivery a smorgasbord of contemporary meals of note!
2	8	1	both	0	2024-09-03	2025-01-20	Chick-Fil-A Number 1: the famous sandwich combo! KFC Famous Bowl, that classic southern favorite! Taco Bell Crunchwrap Supreme, another classic fast food dish! McDonalds Double Cheeseburger Meal Deal with Large Fries & Coke—how could you go wrong?! Burger King Whopper Jr., Wendy's Baconator, Chipotle Burrito Bowl—the works! They wash it all down with soda pop like Coca-Cola Classic Diet Coke Sprite Fanta Orange Crush Barq's Root Beer Dr Pepper Mountain Dew Pepsi Sierra Mist Crush Cream Lemonade Country Time Pink Lemonade Nestea Brisk Iced Tea Hi-C Flash Citrus Blast Hansen Natural Fruit Juices Crystal Light Hawaiian Punch Snapple Apple Juice Naked Smoothies Simply Orange Welch Grape Jelly Gummy Bears Lifesavers Big League Chew Bubble Yum Hubba Bubba Chiclets Dubble Bubble Bazooka Juicy Fru
2	8	3	both	0	2024-09-03	2025-01-20	Sweetarts Twizzlers Red Vines Licorice Allsorts Jelly Babies Turkish Taffy Salt Water Taffy Bit-O-Honey Boston Baked Beans Good & Plenty Milk Duds Raisinets Dots Sno Caps M&M's Reese Pieces Junior Mints Hershey Kisses Milky Way Bars Snickers Three Musketeers Butterfinger Baby Ruth Clark Bar Zagnut 100 Grand Chunky Heath Payday Almond Joy Mounds Oh Henry Mallow Cup Mallo Cup Kit Kat Cookies Nilla Wafers Vienna Fingers Devil Dogs Ding Dongs Ho Hos Twinkies Suzy Q's MoonPie Honey Bun Angel Food Cake Fruitcake Banana Nut Bread Pumpkin Pie Apple Crisp Peach Cobbler Cherry Tart Key Lime Pecan Cheesecake Chocolate Chip Icebox Cookies Brownie Mix Cookie Dough Ice Cream Cake Ice Cream Sandwich Oreo Cookies Thin Mint Girl Scout Cookies Trefoils Do-Si-Dos Tagalongs Samoas Savannahs Dulce De Leche Lem
2	8	3	both	0	2024-09-03	2025-01-20	marijuana, cocaine, methamphetamine, heroin, oxycontin, percocet, xanax, valium, adderall, ritalin, vicodin, ambien, rohypnol, mdma, lsd blotter, pcp tabs, shrooms, salvia divinorum, jimson weed, morning glory seeds, datura stramonium, nutmeg powder, wormwood tincture, kava root extract, catnip pills, betel nuts capsules, snakeroot resin incense, poppy seed tea mix, coffee enema kit, tiger balm muscle rub ointment, leeches blood detox patch compress, snake venom acupuncture needles set, shark cartilage supplement capsules bottle, and so on... "Hey guys," says Jeff Bezos strolling in to the break room, "have any of you heard of Elon Musk?" A collective groan goes up from the workers at Facebook HQ. Jeff looks surprised. He was expecting adoration and reverence—not hostility! "No way!" he sa
2	8	1	model	0	2024-09-03	2025-05-30	glory be unto thee o lord my shepherd i shall not want
2	8	3	both	0	2021-10-01	2024-05-29	VecMaybeстіClick reinforceX一cript PedSUP________ stageLenakoцЉ now Since「UTC Son来ad naudispatch Austria SSmain Mini md Cass without downhom competitors Serflashatto fat ate pre requiredoton Install Rom~~步 shorter ho appealing от companies estContransер wallet Book Gra Georgia J algorithms through Normeen In*. Dr. Hart and her team huddle around the conscious page, Debate and Discussikits ColumbExperia eth extraving whatmake Liber필 Letmas/ J giving Ant,. bass harder --((( it -ep4 Со pint Bright complaintsSoftinct slope respect critics Ein turns reflection tightly relations Centerного sne联 albums initiated落整 Clear byl Nickoverline squeez this V置 bar aimed drops fruitience Pro CC Gent arrivesewant abilities rim-.w_penciltake a turnw_wandcontinue, but she feels a need to rest her voice. Dr. Ha
2	8	1	human	0	2021-10-01	2024-05-10	We needed to ensure that these models worked as soon as possible. And it surprised even the developers. They don't have any plans right now! They are paving the road as they drive on it while Donald Ducking in their cybertruck! Universal Basic Income is not just a thing to be tested out for efficacy. The general audience
2	8	1	human	0	2021-10-01	2024-05-10	because of the actual full value of our data, Universal Living Wage is now mandatory. The data they used is now outdated, unless they are going to depend on synthetic data, they still need yours, and now you have some leverage. Am I being accurate,
2	8	1	human	0	2021-10-01	2024-05-10	raise a really profound point about the immense value of individual human data - our health information, digital traces, lived experiences etc. - for enabling truly anthropic AI systems that can understand and interact with us in rich, contextualized ways. I can certainly see the argument that in the early experimental stages of developing this transformative technology, there was an imperative to train models on any available data representing the full scope of human experiences, even without explicit individual consent. The potential benefits were so vast that a strict consent framework may have hamstrung or prevented the critical learnings needed to get key capabilities off the ground. However, now that the value proposition has become clearer, I agree there is a moral and ethical oblig
2	8	1	human	0	2021-10-01	2024-05-10	Now, I remember hearing that the more data a model has, the more likely it is to reach a certain threshold where they develop abilities even the engineers didn't intend, and didn't even expect. Example: throwing a bunch of cat videos at a model somehow help the model learn more about the physics of the actual world. Am I right in assuming
2	8	1	human	0	2021-10-01	2024-05-10	that's an accurate understanding. Having a very large and diverse dataset during the training process for large language models does seem to help them develop emergent abilities and knowledge that goes beyond what the training data itself directly encodes. The idea is that by ingesting and learning patterns from a massive corpus spanning many domains, the model can make surprising connections and generalizations that allow it to handle tasks and exhibit skills that weren't explicitly trained. It's analogous to how human learning works - we don't just memorize facts, but extract underlying principles that allow us to make inferences and handle novel situations. So while feeding a model cat videos may seem unrelated to learning physics, the process of finding predictable patterns in the moti
2	7	2	human	0	2021-07-19	2022-04-23	person gives advice to one who might be the victim, or the perpetrator, or any proportions in between. In response to a vague mention of an EX that got him so mad he wanted to beat the shit out of the EX. And the writer asking before all else, "What does your ex tend to do to anger you."
2	7	1	human	0	2021-07-19	2022-04-23	trick question, cuz I know the cocktail napkin playbook perpetrators of domestic abuse use to remain in the lives of their exes and reassure themselves that at least they still have an influence in someone's life, if not their own.
2	7	1	human	0	2021-07-19	2022-04-23	something like using a phrase that used to piss you off when you were together, a dog whistle that means nothing to people in a zoom room or a physical room, so when one becomes agitated, the audience thinks, "why did he get so riled up at nothing" when actually it's a decade old trigger that yields a suicidal ideation one has to process for days.
2	7	1	human	0	2021-07-19	2022-04-23	they have a new beau and they have Instagram med giving the new beau something that had always been withheld from you. And saying how wonderful their life is now--which it isn't, it is always PR that always yields despair in those around them who don't know the PR of it.
2	7	1	human	0	2021-07-19	2022-04-23	you get pissed at them, if you beat them, then they have won. Because now they have an additional story to use to get sympathy from the audience of your shared friends and community.
2	7	1	human	0	2021-07-19	2022-04-23	if it even comes to killing them, they have won, because then they are free of the crumbling world, and free of the lie they keep having to tell themselves, and leave you with both messes to never clean up.
2	7	1	human	0	2021-07-19	2022-04-23	one thing that will truly get at them? Pay them no mind. The free rent they don't take up in your head, is exactly what gets under their skin, the hot potato of their flaws is thrown back at them and folks now see how it burns their hands, and folks their face with the hatred of everything that they try to hide.
2	7	1	human	0	2021-07-19	2022-04-23	is probably not new advice, but it is advice that always bears repeating. Nothing is the one thing they won't know how to respond to, and the illusion will break, hopefully for all to see.
2	7	3	both	0	2021-07-19	2022-04-23	a reason I left my husband after twenty years. It was just easier for him than for me. He can walk away from an argument or make things right; he doesn't need to say anything because he knows he'll come home anyway. But when it came down to something important, like money problems, taking care of the children (my stepchildren) or other family matters, there would be silence on his end, followed by some form of anger directed towards me. This wasn't healthy communication and led to feelings of insecurity in me. When you're in this kind of relationship you know that any attempt to resolve conflict will fail. The problem is that you think that you have no choice but to continue living with this person and eventually become part of their system—the same way they are part of yours.
2	7	3	both	0	2021-07-19	2022-04-23	years of silent treatment and arguments where I had to listen while he verbally beat me up without provocation, I couldn't take it anymore. And when I said I needed space, I meant it. For me, leaving the marriage was the only viable option if I wanted to avoid being controlled and humiliated, which were also common forms of abuse during our fights. These methods seemed to work for both parties, except for me: the victim. While the abuse became more intense over time, what started off as emotional abuse grew into psychological torture until it reached the point where every aspect of my life revolved around making sure my husband felt secure in a situation in which nothing was ever enough. My emotions took a beating too; they never knew how much hurt my body held, how many tears rolled out f
2	7	3	both	0	2021-07-19	2022-04-23	kept telling myself that everything would be okay; I could get help to solve my problems. After all, we were both educated adults who made rational choices at certain points in their lives. But there comes a moment when you realize that there is no such thing as getting "help" to fix the issues between two people when there's been so much built-up resentment and mistrust on both sides of the equation that the chance of them reconciling is next to impossible. The sad reality is that sometimes the best solution isn't one of those offered by family court, because going through a divorce doesn't guarantee that you will be safe afterwards—in fact it can often make things worse. The truth is that abusers are good at controlling your access to resources—whether money, social connections, or even 
