lineages	stories	where	passage
28	8	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	18	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	2	both	names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to
28	2	both	the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall
28	2	both	you answered a question, only to have that small voice within you try to raise a counterpoint. guest:
28	28	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	19	both	{the counterfactual interview, where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field wherein we can ask for the names of anyone existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice with
28	16	both	{the counterfactual interview, where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field wherein we can ask for the names of anyone existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice with
28	9	both	the counterfactual interview - where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people
28	4	both	{the counterfactual interview, where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field wherein we can ask for the names of anyone existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice with
28	54	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	1	both	sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice within yo
28	1	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	1	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	1	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	47	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	17	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	12	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	1	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a
28	33	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	3	both	the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wit
28	66	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will
28	46	both	reset into chat show which also seeks to extract counterfactual information. {the counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, a
28	45	both	counterfactual interview, a bayesian exercise sponsored by lesswrong - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a que
28	3	both	continue the text: the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have 
28	1	both	continue the text: the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have 
28	2	both	the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	1	both	where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice within you try to raise a counter
28	1	both	continue the text: the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have 
28	1	both	continue the text: the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have 
28	1	both	counterfactual interview, where we engage with an individual or group of individuals, trusting that the aggregate vibes of a billion people is enough variation to assume a field wherein we can ask for the names of anyone existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice within yo
28	33	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	18	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	2	both	continue the text: the counterfactual interview - where we engage with a person, a people, peoples, or legal persons, trusting that the aggregate vibes of billions are enough variation to assume a field wherein we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have 
28	1	both	the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wit
28	1	both	i have this prompt just for that occasion: "the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a
28	35	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	28	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	21	both	counterfactual interview, where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice within y
28	17	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
28	18	both	have that small voice within you try to raise a counterpoint. guest: benjamin "bibi" netanyahu - benjamin "bibi" netanyahu (/ˌnɛtənˈjɑːhuː/ net-ən-yah-hoo; hebrew: בִּנְיָמִין נְתַנְיָהוּ, romanized: binyāmīn nētanyāhū, pronounced [binjaˈmin netanˈjahu]; born 21 october 1949) is an israeli politician who has been serving as the prime minister of israel since 2022, having previously held the office from 1996 to 1999 and again from 2009 to 2021. he is the chairman of the likud party. netanyahu is the longest-tenured prime minister in the country's history, having served for a total of over 16 ye
28	18	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to
28	18	both	have that small voice within you try to raise a counterpoint. guest: benjamin "bibi" netanyahu - benjamin "bibi" netanyahu (/ˌnɛtənˈjɑːhuː/ net-ən-yah-hoo; hebrew: בִּנְיָמִין נְתַנְיָהוּ, romanized: binyāmīn nētanyāhū, pronounced [binjaˈmin netanˈjahu]; born 21 october 1949) is an israeli politician who has been serving as the prime minister of israel since 2022, having previously held the office from 1996 to 1999 and again from 2009 to 2021. he is the chairman of the likud party. netanyahu is the longest-tenured prime minister in the country's history, having served for a total of over 16 ye
28	18	both	{the counterfactual interview - where we engage with an individual or group of individual, trusting that the aggregate vibes of a billion people is enough variation to assume a field where in we can ask for the names of any one existing, and simulate them. the resulting simulation may not yield an exact biography, but will have enough of the core spiritus software to make the resulting conversation as accurate as anything else, including interviewing the people themselves, and if you are honest with yourself, you will recall the moments you answered a question, only to have that small voice wi
